sep=;
"DATA";"Modul";"FlashSerial";"Rev.";"Mean Energy in µJ";"Minimum in µJ";"Maximum in µJ";"Std. Deviation";"Deviation in %";"Date";"Filename";"Resultpath";"Prüfer";"Flashes";"Intervallzeit x 10ms ";"Intervalle"
;"LS06";2463411;;37,6060;34,3800;39,8200;0,7020;1,8600;"19.08.2025";"2463411_µJoule_2025-08-19_1029.csv";"Y:\Produktion\Prüffeld\Prüfprotokolle\Xe-µJoule\Wareneingangsmessung\LS06\";"N.Ulm";1;5;800
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Series:";;;;;;;;;;;;;;;
"Min:";"34.38";;;;;;;;;;;;;;
"Max:";"39.82";;;;;;;;;;;;;;
"Avg:";"37.606";;;;;;;;;;;;;;
"StdDev:";"0.702";;;;;;;;;;;;;;
"CV:";"1.866";;;;;;;;;;;;;;
